,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,course,G_mean,social_economic_score,social_class
38,GP,F,15,0,GT3,T,1,1,1,1,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,1,no,4,3,2,1,1,5,2,12,12,11,math,11.666666666666666,6,higher_economic_class
39,GP,F,15,0,GT3,T,0,0,0,1,reputation,mother,1,1,0,yes,yes,yes,yes,yes,yes,0,no,4,3,1,1,1,2,8,14,13,13,math,13.333333333333334,2,lower_economic_class
40,GP,F,16,1,LE3,T,0,0,1,1,home,mother,1,2,1,no,yes,no,yes,no,yes,1,yes,3,3,3,1,2,3,25,7,10,11,math,9.333333333333334,5,higher_economic_class
41,GP,M,15,1,LE3,T,1,1,1,1,home,other,1,1,0,no,yes,no,no,no,yes,1,yes,5,4,3,2,4,5,8,12,12,12,math,12.0,7,higher_economic_class
42,GP,M,15,1,GT3,T,1,1,1,1,course,father,1,2,0,no,yes,no,yes,yes,yes,1,no,4,3,3,1,1,5,2,19,18,18,math,18.333333333333332,7,higher_economic_class
43,GP,M,15,1,GT3,T,0,0,1,1,course,father,1,1,0,yes,yes,no,no,yes,yes,1,no,5,4,1,1,1,1,0,8,8,11,math,9.0,5,higher_economic_class
44,GP,F,16,1,LE3,T,0,0,1,0,course,father,1,2,1,yes,no,no,yes,yes,yes,1,no,4,3,3,2,2,5,14,10,10,9,math,9.666666666666666,4,higher_economic_class
45,GP,F,15,1,LE3,A,1,1,1,1,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,1,yes,5,2,2,1,1,5,8,8,8,6,math,7.333333333333333,7,higher_economic_class
46,GP,F,16,1,LE3,A,1,1,1,1,home,mother,1,2,0,no,yes,no,no,yes,yes,1,no,2,3,5,1,4,3,12,11,12,11,math,11.333333333333334,7,higher_economic_class
47,GP,M,16,1,GT3,T,1,1,1,1,reputation,mother,1,4,0,no,no,no,yes,yes,yes,1,no,4,2,2,1,1,2,4,19,19,20,math,19.333333333333332,7,higher_economic_class
48,GP,M,15,1,GT3,T,1,0,1,1,home,mother,1,2,0,no,yes,yes,no,yes,yes,0,no,4,3,3,2,2,5,2,15,15,14,math,14.666666666666666,5,higher_economic_class
49,GP,F,15,1,GT3,T,1,1,1,1,other,father,1,2,1,yes,yes,no,yes,no,yes,1,no,4,4,4,1,1,3,2,7,7,7,math,7.0,7,higher_economic_class
50,GP,F,16,1,LE3,T,0,0,1,1,course,mother,0,2,0,no,yes,yes,no,yes,yes,1,no,4,3,3,2,3,4,2,12,13,13,math,12.666666666666666,4,higher_economic_class
51,GP,F,15,1,LE3,T,1,0,1,1,other,mother,1,2,0,no,yes,yes,no,yes,yes,1,no,4,3,3,1,1,5,2,11,13,13,math,12.333333333333334,6,higher_economic_class
52,GP,M,15,1,LE3,A,1,0,1,1,other,father,1,1,1,no,no,no,no,yes,yes,0,no,5,5,5,3,4,5,6,11,11,10,math,10.666666666666666,5,higher_economic_class
53,GP,F,15,1,GT3,T,1,1,1,1,course,mother,1,1,0,yes,yes,yes,no,yes,yes,1,no,3,3,4,2,3,5,0,8,10,11,math,9.666666666666666,7,higher_economic_class
54,GP,F,15,1,LE3,A,1,1,1,1,other,mother,1,1,0,no,no,yes,no,yes,yes,1,no,5,3,4,4,4,1,6,10,13,13,math,12.0,7,higher_economic_class
55,GP,F,16,1,GT3,A,0,0,1,1,other,mother,1,2,0,no,no,yes,yes,yes,yes,1,yes,5,3,4,1,1,2,8,8,9,10,math,9.0,5,higher_economic_class
56,GP,F,15,1,GT3,A,1,1,1,1,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,1,no,4,3,2,1,1,1,0,14,15,15,math,14.666666666666666,7,higher_economic_class
57,GP,M,15,1,GT3,T,1,1,1,1,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,0,no,3,2,2,1,1,5,4,14,15,15,math,14.666666666666666,6,higher_economic_class
58,GP,M,15,1,LE3,T,0,0,1,0,home,father,1,2,0,yes,yes,no,yes,yes,yes,1,no,4,3,2,1,1,5,2,9,10,9,math,9.333333333333334,4,higher_economic_class
59,GP,F,16,1,GT3,T,1,0,1,1,course,mother,1,2,0,no,yes,no,no,yes,yes,1,no,4,2,3,1,1,5,2,15,16,16,math,15.666666666666666,6,higher_economic_class
60,GP,F,16,0,GT3,T,1,1,1,1,other,mother,1,2,0,no,yes,no,yes,yes,yes,0,no,2,4,4,2,3,4,6,10,11,11,math,10.666666666666666,5,higher_economic_class
61,GP,F,16,1,GT3,T,0,0,1,1,course,father,0,1,0,yes,yes,no,yes,no,yes,1,yes,5,5,5,5,5,5,6,10,8,11,math,9.666666666666666,4,higher_economic_class
62,GP,F,16,1,LE3,T,0,0,1,1,reputation,father,1,2,0,yes,no,no,yes,yes,yes,1,no,4,4,3,1,1,1,4,8,10,9,math,9.0,5,higher_economic_class
63,GP,F,16,1,GT3,T,1,1,1,1,home,mother,1,3,0,yes,yes,yes,yes,yes,yes,1,no,3,4,4,2,4,4,2,10,9,9,math,9.333333333333334,7,higher_economic_class
64,GP,F,15,1,LE3,T,1,1,1,1,reputation,father,1,2,0,yes,no,no,yes,yes,yes,1,yes,4,4,4,2,4,2,0,10,10,10,math,10.0,7,higher_economic_class
65,GP,F,16,1,LE3,T,1,1,1,1,course,mother,0,2,0,no,yes,no,yes,yes,yes,1,no,5,4,3,1,2,1,2,16,15,15,math,15.333333333333334,6,higher_economic_class
66,GP,M,15,1,GT3,A,1,1,1,1,reputation,mother,1,4,0,no,yes,no,yes,no,yes,1,yes,1,3,3,5,5,3,4,13,13,12,math,12.666666666666666,7,higher_economic_class
67,GP,F,16,1,GT3,T,1,0,1,1,course,mother,1,4,0,yes,yes,yes,no,yes,yes,1,no,4,3,3,1,2,5,4,7,7,6,math,6.666666666666667,6,higher_economic_class
68,GP,F,15,0,LE3,T,0,0,1,1,reputation,mother,1,2,0,yes,yes,yes,no,yes,yes,1,no,4,1,3,1,3,4,2,8,9,8,math,8.333333333333334,4,higher_economic_class
69,GP,F,15,0,LE3,T,1,0,1,1,reputation,father,1,4,0,no,yes,no,no,no,yes,1,no,4,4,2,2,3,3,12,16,16,16,math,16.0,5,higher_economic_class
70,GP,M,16,1,GT3,T,1,0,1,1,reputation,father,1,4,0,no,yes,yes,no,yes,yes,1,no,4,3,2,1,1,5,0,13,15,15,math,14.333333333333334,6,higher_economic_class
71,GP,M,15,1,GT3,T,1,0,1,1,course,mother,1,4,0,no,no,no,no,yes,yes,1,no,3,3,3,1,1,3,0,10,10,10,math,10.0,6,higher_economic_class
72,GP,F,15,0,GT3,T,0,0,1,1,reputation,mother,1,2,2,yes,yes,no,no,no,yes,1,yes,3,3,4,2,4,5,2,8,6,5,math,6.333333333333333,4,higher_economic_class
73,GP,M,16,1,GT3,T,1,0,1,1,reputation,mother,1,1,0,no,no,no,yes,yes,yes,0,no,5,3,2,2,2,5,2,12,12,14,math,12.666666666666666,5,higher_economic_class
74,GP,F,16,1,GT3,T,1,1,1,1,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,1,no,4,3,3,2,4,5,54,11,12,11,math,11.333333333333334,7,higher_economic_class
75,GP,M,15,1,GT3,T,1,1,1,1,home,mother,1,2,0,no,yes,yes,yes,yes,yes,1,no,4,3,3,2,3,5,6,9,9,10,math,9.333333333333334,7,higher_economic_class
76,GP,M,15,1,GT3,T,1,0,1,1,course,mother,1,4,0,no,no,no,yes,yes,yes,1,no,3,4,3,1,1,1,8,11,11,10,math,10.666666666666666,6,higher_economic_class
77,GP,F,16,1,GT3,T,0,0,1,1,reputation,mother,1,4,0,no,no,yes,no,yes,yes,1,yes,5,2,3,1,3,3,0,11,11,11,math,11.0,5,higher_economic_class
78,GP,M,17,1,GT3,T,0,0,1,1,home,mother,1,1,3,yes,yes,no,yes,yes,no,1,no,4,5,1,1,1,3,2,8,8,10,math,8.666666666666666,5,higher_economic_class
79,GP,F,16,1,GT3,T,1,1,0,1,course,mother,1,2,0,no,yes,no,no,yes,yes,1,no,2,4,3,1,2,3,12,5,5,5,math,5.0,6,higher_economic_class
80,GP,M,15,1,GT3,T,0,1,1,1,course,father,1,1,0,yes,yes,yes,yes,no,yes,1,yes,3,2,2,1,3,3,2,10,12,12,math,11.333333333333334,6,higher_economic_class
81,GP,M,15,1,GT3,T,0,1,1,1,home,mother,1,3,0,yes,no,yes,no,no,yes,1,no,5,3,2,1,2,5,4,11,10,11,math,10.666666666666666,6,higher_economic_class
82,GP,F,15,1,LE3,T,1,0,1,1,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,1,no,4,4,4,1,1,5,10,7,6,6,math,6.333333333333333,6,higher_economic_class
83,GP,M,15,1,LE3,T,0,0,1,1,home,mother,1,2,0,no,no,yes,yes,yes,yes,1,no,5,3,3,1,3,4,4,15,15,15,math,15.0,5,higher_economic_class
84,GP,F,15,1,GT3,T,0,0,1,1,home,father,1,2,0,no,yes,no,yes,no,yes,1,no,4,3,2,2,3,4,2,9,10,10,math,9.666666666666666,5,higher_economic_class
85,GP,F,15,1,GT3,T,1,1,1,1,reputation,father,1,2,2,no,no,yes,no,yes,yes,1,yes,4,4,4,2,3,5,6,7,9,8,math,8.0,7,higher_economic_class
86,GP,F,16,1,LE3,T,0,0,0,1,course,mother,1,2,0,no,yes,no,no,yes,yes,0,no,4,3,4,1,2,2,4,8,7,6,math,7.0,3,lower_economic_class
87,GP,F,15,1,GT3,T,1,0,1,1,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,1,no,5,3,3,1,3,1,4,13,14,14,math,13.666666666666666,6,higher_economic_class
88,GP,M,16,1,GT3,T,0,0,1,1,reputation,father,1,2,1,no,no,yes,yes,no,yes,1,no,4,4,2,1,1,3,12,11,10,10,math,10.333333333333334,5,higher_economic_class
89,GP,M,16,1,LE3,A,1,1,1,1,reputation,mother,1,2,0,no,yes,no,no,yes,yes,0,no,4,1,3,3,5,5,18,8,6,7,math,7.0,6,higher_economic_class
90,GP,F,16,1,GT3,T,1,1,1,1,home,mother,1,3,0,no,yes,yes,no,yes,yes,1,yes,4,3,3,1,3,4,0,7,7,8,math,7.333333333333333,7,higher_economic_class
91,GP,F,15,1,GT3,T,1,1,1,1,reputation,mother,1,1,0,no,no,yes,yes,yes,yes,1,no,4,5,5,1,3,1,4,16,17,18,math,17.0,7,higher_economic_class
92,GP,F,16,1,LE3,T,1,0,1,1,home,father,1,2,0,yes,yes,no,no,yes,yes,0,no,3,3,3,2,3,2,4,7,6,6,math,6.333333333333333,5,higher_economic_class
93,GP,F,16,1,GT3,T,1,0,1,1,home,mother,1,2,0,no,yes,yes,yes,yes,yes,1,no,5,3,3,1,1,1,0,11,10,10,math,10.333333333333334,6,higher_economic_class
94,GP,M,15,1,LE3,T,0,0,1,1,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,1,no,4,3,4,1,1,4,6,11,13,14,math,12.666666666666666,5,higher_economic_class
95,GP,F,15,0,GT3,T,0,0,0,1,home,mother,1,4,1,yes,yes,yes,yes,yes,yes,1,no,3,1,2,1,1,1,2,7,10,10,math,9.0,3,lower_economic_class
96,GP,M,16,0,GT3,T,1,1,1,1,reputation,mother,1,1,0,yes,yes,no,yes,no,yes,1,no,3,3,3,1,1,4,2,11,15,15,math,13.666666666666666,6,higher_economic_class
97,GP,F,16,1,GT3,T,0,0,1,1,course,mother,1,2,0,no,yes,yes,no,yes,yes,0,yes,4,3,5,1,1,5,2,8,9,10,math,9.0,4,higher_economic_class
98,GP,F,16,1,GT3,T,1,1,1,1,reputation,mother,1,1,0,no,no,no,yes,no,yes,1,no,5,3,4,1,2,1,6,11,14,14,math,13.0,7,higher_economic_class
99,GP,F,16,1,GT3,T,1,1,1,0,course,mother,1,3,0,yes,yes,yes,no,yes,yes,1,no,5,3,5,1,1,3,0,7,9,8,math,8.0,6,higher_economic_class
100,GP,M,16,1,GT3,T,1,1,1,1,other,mother,1,1,0,yes,yes,yes,yes,yes,yes,1,no,4,5,5,5,5,4,14,7,7,5,math,6.333333333333333,7,higher_economic_class
101,GP,M,16,1,GT3,T,1,1,1,1,other,father,1,3,0,no,yes,no,yes,yes,yes,1,yes,4,4,3,1,1,4,0,16,17,17,math,16.666666666666668,7,higher_economic_class
102,GP,M,15,1,GT3,T,1,1,1,1,course,mother,1,1,0,no,yes,no,yes,no,yes,1,no,5,3,3,1,1,5,4,10,13,14,math,12.333333333333334,7,higher_economic_class
103,GP,F,15,1,GT3,T,1,0,1,1,home,mother,1,2,0,yes,yes,yes,no,yes,yes,1,no,4,3,5,1,1,2,26,7,6,6,math,6.333333333333333,6,higher_economic_class
104,GP,M,15,1,GT3,A,1,1,1,1,course,mother,1,2,0,no,yes,yes,yes,yes,yes,1,no,5,4,4,1,1,1,0,16,18,18,math,17.333333333333332,7,higher_economic_class
105,GP,F,15,1,GT3,A,1,1,1,1,reputation,father,1,4,0,yes,no,no,no,yes,yes,0,no,4,3,3,1,1,4,10,10,11,11,math,10.666666666666666,6,higher_economic_class
106,GP,F,15,1,GT3,T,0,0,1,1,course,mother,1,4,0,yes,yes,yes,no,yes,yes,1,no,5,1,2,1,1,3,8,7,8,8,math,7.666666666666667,5,higher_economic_class
107,GP,M,16,1,GT3,T,1,1,1,1,home,father,1,3,0,no,yes,no,yes,yes,yes,1,no,5,3,3,1,1,5,2,16,18,18,math,17.333333333333332,7,higher_economic_class
108,GP,M,15,0,GT3,T,1,1,1,1,home,father,0,4,0,no,yes,yes,yes,yes,yes,1,yes,1,3,5,3,5,1,6,10,13,13,math,12.0,5,higher_economic_class
109,GP,F,16,1,LE3,T,1,1,1,1,other,mother,1,3,0,no,yes,yes,yes,yes,yes,1,yes,5,4,5,1,1,4,4,14,15,16,math,15.0,7,higher_economic_class
110,GP,M,15,1,LE3,A,1,1,1,1,course,mother,1,1,0,no,no,no,yes,yes,yes,1,no,5,5,3,1,1,4,6,18,19,19,math,18.666666666666668,7,higher_economic_class
111,GP,F,16,0,GT3,T,1,1,1,1,reputation,father,1,3,1,yes,yes,no,yes,yes,yes,1,no,4,1,2,1,1,2,0,7,10,10,math,9.0,6,higher_economic_class
112,GP,F,16,1,GT3,T,0,0,0,1,home,mother,1,2,1,yes,no,no,yes,yes,yes,1,no,3,1,2,1,1,5,6,10,13,13,math,12.0,4,higher_economic_class
113,GP,M,15,1,LE3,T,1,0,1,1,course,mother,1,1,0,no,no,no,no,yes,yes,1,no,3,5,2,1,1,3,10,18,19,19,math,18.666666666666668,6,higher_economic_class
114,GP,M,15,0,GT3,T,0,0,1,1,reputation,mother,1,2,0,no,no,no,yes,yes,yes,1,yes,5,4,2,1,1,5,8,9,9,9,math,9.0,4,higher_economic_class
115,GP,M,16,1,GT3,T,1,1,1,1,course,father,1,2,0,no,yes,no,yes,yes,yes,1,no,5,4,4,1,2,5,2,15,15,16,math,15.333333333333334,7,higher_economic_class
116,GP,M,15,1,GT3,T,1,1,1,1,reputation,father,1,2,0,no,yes,no,yes,yes,yes,0,no,4,4,3,1,1,2,2,11,13,14,math,12.666666666666666,6,higher_economic_class
117,GP,M,16,1,GT3,T,1,1,1,1,home,father,1,1,0,no,no,no,yes,yes,yes,1,no,5,4,2,1,1,5,0,13,14,13,math,13.333333333333334,7,higher_economic_class
118,GP,M,17,0,GT3,T,0,1,1,1,course,father,0,2,1,no,yes,no,yes,yes,yes,1,no,5,2,4,1,4,5,20,9,7,8,math,8.0,4,higher_economic_class
119,GP,M,15,1,GT3,T,1,1,1,1,reputation,father,1,1,0,no,no,no,no,yes,yes,1,no,3,4,3,1,2,4,6,14,13,13,math,13.333333333333334,7,higher_economic_class
120,GP,F,15,1,GT3,T,0,0,0,1,course,mother,1,2,0,no,no,no,no,no,yes,1,no,3,2,3,1,2,1,2,16,15,15,math,15.333333333333334,4,higher_economic_class
121,GP,M,15,1,GT3,T,0,0,1,1,home,father,1,4,0,no,yes,yes,yes,yes,yes,1,no,5,5,4,1,2,5,6,16,14,15,math,15.0,5,higher_economic_class
122,GP,F,16,1,LE3,T,0,1,1,1,course,father,1,2,0,no,yes,yes,yes,yes,yes,1,yes,4,2,2,1,2,5,2,13,13,13,math,13.0,6,higher_economic_class
123,GP,M,16,1,GT3,T,1,1,1,1,course,mother,1,1,0,no,yes,no,yes,yes,yes,1,no,3,4,4,1,4,5,18,14,11,13,math,12.666666666666666,7,higher_economic_class
124,GP,F,16,1,GT3,T,0,0,1,1,home,mother,1,2,0,no,no,yes,no,yes,yes,1,yes,5,4,4,1,1,5,0,8,7,8,math,7.666666666666667,5,higher_economic_class
125,GP,M,15,1,GT3,T,1,1,1,1,home,father,1,1,0,yes,no,no,no,yes,yes,1,no,5,5,5,3,2,5,0,13,13,12,math,12.666666666666666,7,higher_economic_class
126,GP,F,15,1,LE3,A,1,1,1,1,home,mother,1,2,0,yes,no,no,yes,yes,yes,1,yes,5,3,2,1,1,1,0,7,10,11,math,9.333333333333334,7,higher_economic_class
127,GP,F,19,1,GT3,T,0,0,0,1,course,other,1,2,3,no,yes,no,no,no,no,0,no,3,4,2,1,1,5,2,7,8,9,math,8.0,3,lower_economic_class
128,GP,M,18,0,GT3,T,0,0,1,1,reputation,mother,1,1,2,no,yes,no,yes,yes,yes,1,no,3,3,3,1,2,4,0,7,4,0,math,3.6666666666666665,4,higher_economic_class
129,GP,M,16,0,GT3,T,1,1,1,1,course,mother,1,1,0,no,no,yes,yes,yes,yes,1,no,3,5,5,2,5,4,8,18,18,18,math,18.0,6,higher_economic_class
130,GP,F,15,0,GT3,T,1,1,1,1,course,father,1,3,2,no,yes,no,no,yes,yes,1,yes,4,2,2,2,2,5,0,12,0,0,math,4.0,6,higher_economic_class
131,GP,F,15,1,GT3,T,0,0,0,1,course,mother,0,1,0,no,yes,no,yes,no,yes,1,yes,4,3,3,1,2,4,0,8,0,0,math,2.6666666666666665,3,lower_economic_class
132,GP,F,17,1,LE3,T,0,0,1,1,course,father,1,1,0,no,yes,no,no,yes,yes,1,yes,3,4,4,1,3,5,12,10,13,12,math,11.666666666666666,5,higher_economic_class
133,GP,F,16,1,GT3,A,1,1,1,1,course,father,1,1,0,no,no,no,no,yes,yes,1,no,3,2,1,1,4,5,16,12,11,11,math,11.333333333333334,7,higher_economic_class
134,GP,M,15,0,GT3,T,1,1,0,1,course,mother,0,2,0,no,yes,no,no,yes,yes,0,yes,5,3,3,1,1,5,0,9,0,0,math,3.0,3,lower_economic_class
135,GP,F,15,1,GT3,T,1,1,1,0,course,mother,1,3,0,no,yes,no,yes,yes,yes,1,yes,4,3,3,1,1,5,0,11,0,0,math,3.6666666666666665,6,higher_economic_class
136,GP,M,17,0,GT3,T,1,1,0,1,course,mother,0,2,0,no,no,no,no,yes,yes,0,no,5,4,5,2,4,5,0,10,0,0,math,3.3333333333333335,3,lower_economic_class
137,GP,F,16,1,GT3,A,1,1,1,1,course,other,1,1,2,no,yes,no,yes,no,yes,1,yes,4,3,2,1,1,5,0,4,0,0,math,1.3333333333333333,7,higher_economic_class
138,GP,M,16,1,LE3,T,0,0,1,1,course,mother,1,2,1,no,no,no,no,yes,yes,0,yes,4,4,4,1,3,5,0,14,12,12,math,12.666666666666666,4,higher_economic_class
139,GP,F,15,1,GT3,T,1,1,1,1,course,mother,1,1,0,no,no,no,yes,yes,yes,1,no,4,3,2,1,1,5,0,16,16,15,math,15.666666666666666,7,higher_economic_class
140,GP,M,15,1,GT3,T,1,1,1,1,course,father,1,4,0,yes,yes,no,no,yes,yes,1,no,2,2,2,1,1,3,0,7,9,0,math,5.333333333333333,7,higher_economic_class
141,GP,M,16,1,LE3,T,0,0,1,1,reputation,father,1,1,2,no,yes,no,yes,yes,yes,1,no,2,3,3,2,2,2,8,9,9,9,math,9.0,5,higher_economic_class
142,GP,F,15,1,GT3,T,1,1,1,1,course,mother,1,3,0,no,yes,yes,yes,yes,yes,1,no,4,2,2,1,1,5,2,9,11,11,math,10.333333333333334,7,higher_economic_class
143,GP,F,16,1,LE3,T,0,0,0,0,course,mother,1,1,0,no,no,no,no,yes,yes,1,no,3,4,4,3,3,1,2,14,14,13,math,13.666666666666666,3,lower_economic_class
